timestamp_id,timestamp_hhmmss_jst,ms,u_mobile,v_mobile,w_mobile,pitch,roll,wind_speed_mobile
2024-04-26 15:30:36.000,15:30:01,0,2.4025,-0.165,-0.0775,25.2,-2.9,2.4081593074379444
2024-04-26 15:30:36.100,15:30:01,100,2.5225,0.135,0.0,25.2025,-2.75,2.5261099045766002
2024-04-26 15:30:36.200,15:30:01,200,2.81,0.29,0.3475,25.225,-2.725,2.824924777759578
2024-04-26 15:30:36.300,15:30:01,300,2.445,-0.2375,0.28,25.1725,-2.95,2.45650793811052
2024-04-26 15:30:36.400,15:30:01,400,2.1575,-0.5225,0.395,25.0975,-2.7,2.2198676762365817
2024-04-26 15:30:36.500,15:30:01,500,1.9625,-0.6325,0.6225,25.1225,-2.875,2.0619074906503445
2024-04-26 15:30:36.600,15:30:01,600,1.7875,-0.42,0.3325,25.22,-2.75,1.8361797978411591
2024-04-26 15:30:36.700,15:30:01,700,1.7075,-0.5675,0.2475,25.245,-2.875,1.79933668333639
2024-04-26 15:30:36.800,15:30:01,800,2.3,-0.7,0.3825,25.105,-2.775,2.4041630560342613
2024-04-26 15:30:36.900,15:30:01,900,1.9625,-0.97,0.7525,25.2625,-2.725,2.1891336756808615
2024-04-26 15:30:37.000,15:30:02,0,1.7075,-0.875,0.6,25.3325,-2.975,1.9186404691864496
2024-04-26 15:30:37.100,15:30:02,100,1.4425,-0.8925,0.645,25.2275,-2.65,1.69627901596406
2024-04-26 15:30:37.200,15:30:02,200,1.77,-0.7725,0.5275,25.285,-2.9,1.9312317960307095
2024-04-26 15:30:37.300,15:30:02,300,1.7775,-0.6525,0.4625,25.185,-2.75,1.8934789409972324
2024-04-26 15:30:37.400,15:30:02,400,1.935,-0.655,0.68,25.1625,-2.75,2.042853396599962
2024-04-26 15:30:37.500,15:30:02,500,2.145,-0.4475,0.7075,25.235,-2.875,2.1911826144801347
