timestamp_id,timestamp_hhmmss_jst,ms,u_mobile,v_mobile,w_mobile,pitch,roll,wind_speed_mobile
2024-04-26 13:00:36.000,13:00:01,0,1.3175,-0.725,0.305,25.2875,-0.075,1.5038055891637057
2024-04-26 13:00:36.100,13:00:01,100,1.265,-0.5875,0.24,25.2825,-0.1,1.3947692461479066
2024-04-26 13:00:36.200,13:00:01,200,1.1775,-0.53,0.045,25.3,-0.1,1.2912808563592972
2024-04-26 13:00:36.300,13:00:01,300,0.985,-0.5125,0.0,25.2875,-0.1,1.1103518586466183
2024-04-26 13:00:36.400,13:00:01,400,1.01,-0.495,0.0,25.3475,-0.125,1.1247777558255676
2024-04-26 13:00:36.500,13:00:01,500,0.9975,-0.5975,0.04,25.32,-0.1,1.1627607234508741
2024-04-26 13:00:36.600,13:00:01,600,1.1,-0.3,0.0,25.315,-0.1,1.140175425099138
2024-04-26 13:00:36.700,13:00:01,700,1.1075,-0.385,0.0,25.3525,-0.15,1.172510660932343
2024-04-26 13:00:36.800,13:00:01,800,1.225,-0.27,0.0,25.3325,-0.05,1.2544022480847203
2024-04-26 13:00:36.900,13:00:01,900,1.3125,-0.37,0.0875,25.34,-0.15,1.3636554733509487
2024-04-26 13:00:37.000,13:00:02,0,1.32,-0.44,0.06,25.3925,-0.1,1.3914021704740869
2024-04-26 13:00:37.100,13:00:02,100,1.355,-0.575,0.3275,25.3875,-0.075,1.4719544829919164
2024-04-26 13:00:37.200,13:00:02,200,1.3875,-0.4375,0.255,25.365,-0.125,1.4548410566106524
2024-04-26 13:00:37.300,13:00:02,300,1.2725,-0.7175,0.29,25.3475,-0.15,1.4608430784995354
2024-04-26 13:00:37.400,13:00:02,400,1.5025,-0.685,0.33,25.3525,-0.05,1.651281699165833
2024-04-26 13:00:37.500,13:00:02,500,1.34,-0.62,0.355,25.34,-0.1,1.47648230602334
2024-04-26 13:00:37.600,13:00:02,600,1.45,-0.785,0.4175,25.355,-0.15,1.6488556637862515
2024-04-26 13:00:37.700,13:00:02,700,1.325,-0.88,0.365,25.305,-0.05,1.5906052307219414
2024-04-26 13:00:37.800,13:00:02,800,1.6425,-0.685,0.265,25.26,-0.2,1.779615478130037
2024-04-26 13:00:37.900,13:00:02,900,1.605,-0.6025,0.11,25.2325,-0.075,1.7143603034368242
