lat_deg,lon_deg,elevation,timestamp_hhmmss_jst,east_m,north_m,speed,bearing,distance_to_ref_point,status
35.575884800000004,139.67012680000002,12.3,13:35:45,379499.69214286096,3937723.2166195186,2.006586486201281,273.82365678454397,11.871377864517989,southward
35.5758829,139.6701269,12.3,13:35:45,379499.69835816143,3937723.005755755,2.058069959296335,272.7559929021485,11.670513666148997,southward
35.575881,139.670127,12.3,13:35:45,379499.70457346196,3937722.794891991,2.109553432391389,271.6883290197529,11.469649467780005,southward
35.575879400000005,139.6701276,12.3,13:35:46,379499.7565460273,3937722.6166912583,2.084223110985194,273.1454381129066,11.284790452406009,southward
35.5758778,139.6701282,12.3,13:35:46,379499.80851859273,3937722.4384905254,2.0588927895789992,274.6025472060603,11.099931437032012,southward
35.5758762,139.67012880000001,12.3,13:35:46,379499.8604911581,3937722.260289793,2.033562468172805,276.059656299214,10.915072421658014,southward
35.5758746,139.6701294,12.3,13:35:46,379499.91246372345,3937722.08208906,2.00823214676661,277.5167653923677,10.730213406284017,southward
35.575873,139.67013,12.3,13:35:46,379499.9644362888,3937721.903888327,1.9829018253604151,278.9738744855214,10.54535439091002,southward
35.575871400000004,139.6701306,12.3,13:35:46,379500.0164088542,3937721.725687594,1.9575715039542203,280.43098357867507,10.360495375536024,southward
35.5758698,139.6701312,12.3,13:35:46,379500.0683814196,3937721.5474868612,1.9322411825480257,281.88809267182876,10.175636360162027,southward
35.5758682,139.6701318,12.3,13:35:46,379500.12035398494,3937721.369286129,1.9069108611418308,283.34520176498245,9.990777344788029,southward
35.5758666,139.6701324,12.3,13:35:46,379500.17232655035,3937721.191085396,1.8815805397356362,284.80231085813614,9.805918329414032,southward
35.575865,139.670133,12.3,13:35:46,379500.2242991157,3937721.012884663,1.8562502183294414,286.25941995128983,9.621059314040036,southward
35.5758633,139.6701338,12.3,13:35:47,379500.2942450454,3937720.8233475145,1.8726567872326978,286.65906288454164,9.419138970864623,southward
35.5758616,139.67013459999998,12.3,13:35:47,379500.3641909751,3937720.6338103665,1.8890633561359542,287.05870581779345,9.217218627689208,southward
35.5758599,139.6701354,12.3,13:35:47,379500.4341369048,3937720.444273218,1.9054699250392106,287.45834875104526,9.015298284513793,southward
35.5758582,139.6701362,12.3,13:35:47,379500.50408283446,3937720.25473607,1.921876493942467,287.8579916842971,8.81337794133838,southward
35.5758565,139.670137,12.3,13:35:47,379500.57402876415,3937720.0651989216,1.9382830628457235,288.2576346175489,8.611457598162968,southward
35.5758548,139.6701378,12.3,13:35:47,379500.6439746939,3937719.875661773,1.95468963174898,288.65727755080064,8.409537254987553,southward
35.5758531,139.6701386,12.3,13:35:47,379500.7139206236,3937719.686124625,1.9710962006522363,289.05692048405245,8.207616911812138,southward
35.5758514,139.6701394,12.3,13:35:47,379500.7838665533,3937719.4965874767,1.9875027695554928,289.45656341730427,8.005696568636726,southward
35.5758497,139.6701402,12.3,13:35:47,379500.85381248296,3937719.3070503287,2.003909338458749,289.8562063505561,7.803776225461312,southward
35.575848,139.670141,12.3,13:35:47,379500.92375841265,3937719.1175131802,2.0203159073620056,290.2558492838079,7.601855882285898,southward
35.5758465,139.6701415,12.3,13:35:48,379500.9668192546,3937718.9505264917,1.9907337014553608,289.6762483120986,7.4315383895428635,southward
35.575845,139.670142,12.3,13:35:48,379501.0098800966,3937718.783539803,1.961151495548716,289.0966473403894,7.261220896799829,southward
35.575843500000005,139.6701425,12.3,13:35:48,379501.0529409386,3937718.616553114,1.931569289642071,288.5170463686801,7.090903404056794,southward
35.575842,139.670143,12.3,13:35:48,379501.0960017806,3937718.4495664253,1.9019870837354262,287.9374453969708,6.9205859113137596,southward
35.5758405,139.6701435,12.3,13:35:48,379501.13906262256,3937718.282579737,1.8724048778287814,287.35784442526153,6.750268418570725,southward
35.575839,139.670144,12.3,13:35:48,379501.18212346453,3937718.115593048,1.8428226719221366,286.7782434535523,6.57995092582769,southward
35.575837500000006,139.6701445,12.3,13:35:48,379501.2251843065,3937717.948606359,1.8132404660154917,286.198642481843,6.409633433084655,southward
35.575836,139.670145,12.3,13:35:48,379501.26824514853,3937717.7816196703,1.7836582601088469,285.61904151013374,6.23931594034162,southward
35.5758345,139.6701455,12.3,13:35:48,379501.3113059905,3937717.614632982,1.754076054202202,285.0394405384245,6.068998447598585,southward
35.575833,139.670146,12.3,13:35:48,379501.3543668325,3937717.447646293,1.7244938482955572,284.45983956671523,5.898680954855551,southward
35.5758316,139.67014659999998,12.3,13:35:49,379501.4066390682,3937717.2916288753,1.7165857081284894,284.86615190231686,5.735466030511432,southward
35.575830200000006,139.6701472,12.3,13:35:49,379501.45891130395,3937717.1356114578,1.7086775679614217,285.2724642379185,5.572251106167313,southward
35.575828800000004,139.6701478,12.3,13:35:49,379501.5111835397,3937716.97959404,1.700769427794354,285.6787765735201,5.409036181823194,southward
35.5758274,139.6701484,12.3,13:35:49,379501.56345577544,3937716.8235766226,1.6928612876272862,286.08508890912174,5.245821257479075,southward
35.575826000000006,139.67014899999998,12.3,13:35:49,379501.6157280112,3937716.6675592056,1.6849531474602184,286.4914012447233,5.082606333134956,southward
35.575824600000004,139.6701496,12.3,13:35:49,379501.6680002469,3937716.511541788,1.6770450072931509,286.89771358032493,4.919391408790837,southward
35.5758232,139.6701502,12.3,13:35:49,379501.72027248266,3937716.3555243704,1.6691368671260831,287.30402591592656,4.756176484446718,southward
35.5758218,139.6701508,12.3,13:35:49,379501.7725447184,3937716.199506953,1.6612287269590154,287.7103382515282,4.5929615601026,southward
35.575820400000005,139.6701514,12.3,13:35:49,379501.82481695415,3937716.0434895353,1.6533205867919476,288.1166505871298,4.42974663575848,southward
35.575819,139.670152,12.3,13:35:49,379501.8770891899,3937715.887472118,1.6454124466248798,288.52296292273144,4.266531711414362,southward
35.5758178,139.67015270000002,12.3,13:35:50,379501.9387226208,3937715.7535156244,1.628326354076056,289.14138423463805,4.119271270299526,southward
35.5758166,139.6701534,12.3,13:35:50,379502.0003560516,3937715.619559131,1.6112402615272323,289.7598055465446,3.972010829184691,southward
35.5758154,139.6701541,12.3,13:35:50,379502.0619894825,3937715.485602638,1.5941541689784087,290.3782268584512,3.824750388069856,southward
35.5758142,139.6701548,12.3,13:35:50,379502.1236229134,3937715.351646145,1.5770680764295848,290.99664817035784,3.6774899469550206,southward
35.575813,139.67015550000002,12.3,13:35:50,379502.18525634427,3937715.2176896515,1.559981983880761,291.6150694822644,3.530229505840185,southward
35.5758118,139.6701562,12.3,13:35:50,379502.2468897751,3937715.083733158,1.5428958913319373,292.233490794171,3.38296906472535,southward
35.5758106,139.6701569,12.3,13:35:50,379502.308523206,3937714.949776665,1.5258097987831136,292.85191210607763,3.235708623610515,southward
35.5758094,139.6701576,12.3,13:35:50,379502.37015663687,3937714.815820172,1.5087237062342898,293.47033341798425,3.0884481824956795,southward
35.5758082,139.67015830000003,12.3,13:35:50,379502.4317900677,3937714.6818636786,1.4916376136854659,294.0887547298908,2.941187741380844,southward
35.575807,139.670159,12.3,13:35:50,379502.4934234986,3937714.5479071853,1.4745515211366422,294.7071760417974,2.793927300266009,southward
35.5758055,139.67015940000002,12.3,13:35:51,379502.52742281836,3937714.3810428884,1.4973891973120457,293.3881199557341,2.6409412213528123,southward
35.575804,139.67015980000002,12.3,13:35:51,379502.5614221381,3937714.214178591,1.520226873487449,292.0690638696708,2.4879551424396156,southward
35.575802499999995,139.6701602,12.3,13:35:51,379502.5954214579,3937714.047314294,1.5430645496628523,290.7500077836075,2.334969063526419,southward
35.575801,139.6701606,12.3,13:35:51,379502.62942077767,3937713.8804499973,1.5659022258382558,289.4309516975442,2.1819829846132217,southward
35.5757995,139.670161,12.3,13:35:51,379502.66342009744,3937713.7135857,1.5887399020136592,288.1118956114809,2.028996905700025,southward
35.575798,139.6701614,12.3,13:35:51,379502.69741941715,3937713.546721403,1.6115775781890624,286.7928395254176,1.8760108267868283,southward
35.575796499999996,139.67016180000002,12.3,13:35:51,379502.7314187369,3937713.379857106,1.6344152543644659,285.4737834393543,1.7230247478736314,southward
35.575795,139.6701622,12.3,13:35:51,379502.7654180567,3937713.2129928092,1.6572529305398693,284.154727353291,1.5700386689604346,southward
35.5757935,139.6701626,12.3,13:35:51,379502.79941737646,3937713.046128512,1.6800906067152725,282.83567126722767,1.417052590047238,southward
35.575792,139.670163,12.3,13:35:51,379502.83341669623,3937712.879264215,1.702928282890676,281.51661518116435,1.264066511134041,southward
35.5757903,139.6701637,12.3,13:35:52,379502.8943011737,3937712.6898494735,1.731594907280503,282.1468745698143,1.254332243699533,southward
35.5757886,139.6701644,12.3,13:35:52,379502.95518565114,3937712.5004347325,1.76026153167033,282.7771339584643,1.2445979762650248,southward
35.5757869,139.67016510000002,12.3,13:35:52,379503.0160701286,3937712.311019991,1.788928156060157,283.40739334711424,1.2348637088305168,southward
35.5757852,139.6701658,12.3,13:35:52,379503.07695460605,3937712.12160525,1.8175947804499841,284.0376527357642,1.2251294413960085,southward
35.5757835,139.6701665,12.3,13:35:52,379503.13783908344,3937711.9321905086,1.8462614048398112,284.6679121244141,1.2153951739615005,southward
35.5757818,139.6701672,12.3,13:35:52,379503.1987235609,3937711.742775767,1.874928029229638,285.29817151306406,1.2056609065269925,southward
35.5757801,139.67016790000002,12.3,13:35:52,379503.25960803835,3937711.553361026,1.903594653619465,285.928430901714,1.1959266390924843,southward
35.5757784,139.6701686,12.3,13:35:52,379503.3204925158,3937711.3639462846,1.932261278009292,286.558690290364,1.1861923716579763,southward
35.5757767,139.6701693,12.3,13:35:52,379503.38137699326,3937711.1745315436,1.960927902399119,287.18894967901394,1.176458104223468,southward
35.575775,139.67017,12.3,13:35:52,379503.4422614707,3937710.985116802,1.989594526788946,287.8192090676639,1.16672383678896,southward
35.5757738,139.67017080000002,12.3,13:35:53,379503.5129565436,3937710.851037942,1.942209920450791,288.8173988190864,1.2967253446093028,southward
35.5757726,139.6701716,12.3,13:35:53,379503.58365161647,3937710.716959082,1.8948253141126359,289.81558857050896,1.4267268524296455,southward
35.5757714,139.6701724,12.3,13:35:53,379503.6543466894,3937710.5828802222,1.8474407077744806,290.81377832193147,1.556728360249988,southward
35.5757702,139.6701732,12.3,13:35:53,379503.7250417623,3937710.448801362,1.8000561014363254,291.811968073354,1.6867298680703307,southward
35.575769,139.670174,12.3,13:35:53,379503.79573683516,3937710.3147225017,1.7526714950981703,292.8101578247765,1.8167313758906734,southward
35.5757678,139.6701748,12.3,13:35:53,379503.86643190804,3937710.180643642,1.7052868887600152,293.808347576199,1.9467328837110158,southward
35.5757666,139.6701756,12.3,13:35:53,379503.9371269809,3937710.046564782,1.65790228242186,294.8065373276216,2.0767343915313585,southward
